timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624652035375,3277,Create Request-7,200,OK,jp@gc - Stress Ultimate Thread Group 1-80,text,true,,72862,141,191,191,https://code.jquery.com/jquery-3.5.1.slim.min.js,2504,0,1895
1624652038652,2792,Create Request-8,200,OK,jp@gc - Stress Ultimate Thread Group 1-80,text,true,,22193,161,191,191,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,2675,0,1818
1624652041444,1136,Create Request-9,200,OK,jp@gc - Stress Ultimate Thread Group 1-80,text,true,,61211,163,191,191,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,1050,0,0
1624652032557,10036,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-156,text,true,,400817,1454,191,191,http://localhost:8082/createalbum.html,2,0,1
1624652032557,2,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-156,text,true,,4825,132,191,191,http://localhost:8082/createalbum.html,2,0,1
1624652032560,2,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-156,text,true,,1567,130,191,191,http://localhost:8082/css/tracks.css,2,0,0
1624652032562,1313,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-156,text,true,,32162,168,191,191,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,1276,0,1219
1624652033876,1262,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-156,text,true,,161480,165,191,191,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,499,0,334
1624652035138,12,Create Request-4,200,,jp@gc - Stress Ultimate Thread Group 1-156,bin,true,,38483,133,191,191,http://localhost:8082/img/choonzimg.png,12,0,0
1624652035150,2,Create Request-5,200,,jp@gc - Stress Ultimate Thread Group 1-156,text,true,,1245,128,191,191,http://localhost:8082/js/mutual.js,2,0,0
1624652035152,1,Create Request-6,200,,jp@gc - Stress Ultimate Thread Group 1-156,text,true,,4821,133,191,191,http://localhost:8082/js/createalbum.js,1,0,0
1624652035154,2899,Create Request-7,200,OK,jp@gc - Stress Ultimate Thread Group 1-156,text,true,,72838,141,191,191,https://code.jquery.com/jquery-3.5.1.slim.min.js,2323,0,1648
1624652038052,2679,Create Request-8,200,OK,jp@gc - Stress Ultimate Thread Group 1-156,text,true,,22193,161,191,191,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,2568,0,1626
1624652040731,1861,Create Request-9,200,OK,jp@gc - Stress Ultimate Thread Group 1-156,text,true,,61203,163,191,191,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,903,0,0
1624652032597,10354,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-87,text,true,,400849,1454,189,189,http://localhost:8082/createalbum.html,2,0,1
1624652032597,2,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-87,text,true,,4825,132,189,189,http://localhost:8082/createalbum.html,2,0,1
1624652032600,1,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-87,text,true,,1567,130,189,189,http://localhost:8082/css/tracks.css,1,0,0
1624652032602,1477,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-87,text,true,,32170,168,189,189,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,1368,0,1234
1624652034079,1199,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-87,text,true,,161472,165,189,189,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,404,0,228
1624652035279,1,Create Request-4,200,,jp@gc - Stress Ultimate Thread Group 1-87,bin,true,,38483,133,189,189,http://localhost:8082/img/choonzimg.png,1,0,0
1624652035280,1,Create Request-5,200,,jp@gc - Stress Ultimate Thread Group 1-87,text,true,,1245,128,189,189,http://localhost:8082/js/mutual.js,1,0,0
1624652035282,1,Create Request-6,200,,jp@gc - Stress Ultimate Thread Group 1-87,text,true,,4821,133,189,189,http://localhost:8082/js/createalbum.js,1,0,0
1624652035283,3004,Create Request-7,200,OK,jp@gc - Stress Ultimate Thread Group 1-87,text,true,,72862,141,189,189,https://code.jquery.com/jquery-3.5.1.slim.min.js,2347,0,1779
1624652038287,2870,Create Request-8,200,OK,jp@gc - Stress Ultimate Thread Group 1-87,text,true,,22193,161,189,189,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,2784,0,1939
1624652041157,1793,Create Request-9,200,OK,jp@gc - Stress Ultimate Thread Group 1-87,text,true,,61211,163,189,189,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,854,0,0
1624652032764,10334,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-86,text,true,,400841,1454,188,188,http://localhost:8082/createalbum.html,3,0,1
1624652032764,3,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-86,text,true,,4825,132,188,188,http://localhost:8082/createalbum.html,3,0,1
1624652032767,1,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-86,text,true,,1567,130,188,188,http://localhost:8082/css/tracks.css,1,0,0
1624652032769,1515,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-86,text,true,,32162,168,188,188,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,1456,0,1364
